delivery_id,order_id,delivery_status,delivery_time,rider_id
1,6001,Delivered,00:44:11,1
2,6002,Delivered,00:14:07,2
3,6003,Delivered,00:19:46,3
4,6004,Not Delivered,00:00:00,4
5,6005,Delivered,00:29:29,5
6,6006,Delivered,00:49:17,6
7,6007,Delivered,00:31:01,7
8,6008,In Transit,00:25:04,8
9,6009,Delivered,00:23:13,9
10,6010,Delivered,00:18:25,10
11,6011,Delivered,00:38:01,11
12,6012,Delivered,00:16:31,12
13,6013,Delivered,00:41:53,13
14,6014,Delivered,00:43:26,14
15,6015,Delivered,00:25:00,15
16,6016,Delivered,00:50:57,16
17,6017,Delivered,00:16:42,17
18,6018,In Transit,00:12:49,18
19,6019,Delivered,00:31:45,19
20,6020,Delivered,00:32:46,20
21,6021,Delivered,00:44:12,21
22,6022,In Transit,00:18:01,22
23,6023,Delivered,00:31:55,23
24,6024,Delivered,00:26:15,24
25,6025,Delivered,00:42:51,25
26,6026,Delivered,00:14:41,26
27,6027,Delivered,00:16:55,27
28,6028,Delivered,00:50:53,28
29,6029,Delivered,00:41:35,29
30,6030,Delivered,00:45:50,30
31,6031,Delivered,00:28:45,31
32,6032,Not Delivered,00:00:00,32
33,6033,Delivered,00:17:18,33
34,6034,Delivered,00:37:05,34
35,6035,In Transit,00:21:29,1
36,6036,Delivered,00:44:34,2
37,6037,Delivered,00:24:23,3
38,6038,Delivered,00:37:46,4
39,6039,Delivered,00:49:34,5
40,6040,Not Delivered,00:00:00,6
41,6041,Delivered,00:23:20,7
42,6042,Delivered,00:36:26,8
43,6043,Delivered,00:25:37,9
44,6044,Delivered,00:39:23,10
45,6045,Delivered,00:43:22,11
46,6046,Delivered,00:32:09,12
47,6047,Delivered,00:45:43,13
48,6048,Delivered,00:48:26,14
49,6049,Not Delivered,00:00:00,15
50,6050,Delivered,00:37:27,16
51,6051,In Transit,00:12:38,17
52,6052,Delivered,00:30:56,18
53,6053,Delivered,00:22:21,19
54,6054,Not Delivered,00:00:00,20
55,6055,Delivered,00:36:41,21
56,6056,Delivered,00:43:28,22
57,6057,Delivered,00:48:55,23
58,6058,Delivered,00:24:56,24
59,6059,Delivered,00:16:21,25
60,6060,Delivered,00:46:58,26
61,6061,Delivered,00:23:38,27
62,6062,Delivered,00:35:34,28
63,6063,Delivered,00:24:54,29
64,6064,In Transit,00:14:52,30
65,6065,Delivered,00:27:52,31
66,6066,Delivered,00:39:05,32
67,6067,Not Delivered,00:00:00,33
68,6068,Not Delivered,00:00:00,34
