order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
6001,8,2,Seekh Kebab,2025-02-05,14:14:08,Completed,439.00
6002,6,38,Pizza Margherita,2025-01-05,07:05:13,Completed,634.00
6003,2,36,Grilled Steak,2025-04-02,20:14:28,Completed,611.00
6004,11,45,Pizza Margherita,2025-02-13,15:09:13,Cancelled,566.00
6005,7,6,Pasta Alfredo,2025-01-13,18:54:22,Completed,291.00
6006,30,35,Paneer Butter Masala,2025-04-29,19:05:35,Completed,450.00
6007,24,37,Grilled Steak,2025-04-01,09:02:42,Completed,684.00
6008,6,15,Paneer Butter Masala,2025-02-18,15:29:40,Pending,331.00
6009,24,23,Grilled Steak,2025-03-27,15:44:59,Completed,628.00
6010,11,35,Seekh Kebab,2025-02-01,12:29:24,Completed,442.00
6011,15,44,Ramen Bowl,2025-04-18,08:14:52,Completed,520.00
6012,26,18,Masala Dosa,2025-01-28,17:13:41,Completed,297.00
6013,10,17,Chicken Shawarma,2025-02-01,15:47:37,Completed,379.00
6014,26,24,Fish Fry,2025-01-18,23:31:05,Completed,508.00
6015,10,41,Cheese Burger,2025-04-12,20:38:04,Completed,372.00
6016,30,34,Chicken Momos,2025-03-12,07:43:46,Completed,337.00
6017,18,50,Thai Fried Rice,2025-02-13,10:18:27,Completed,230.00
6018,17,33,Hakka Noodles,2025-01-23,23:58:06,Pending,296.00
6019,33,39,Grilled Steak,2025-01-20,18:48:10,Completed,745.00
6020,1,39,Ramen Bowl,2025-03-04,07:07:59,Completed,518.00
6021,16,4,Fish Fry,2025-04-23,09:05:46,Completed,497.00
6022,9,9,Donut Box,2025-03-02,12:16:33,Pending,318.00
6023,14,35,Hakka Noodles,2025-04-04,13:45:19,Completed,315.00
6024,29,34,Hot Pot Combo,2025-01-16,14:14:04,Completed,810.00
6025,15,38,Fish Fry,2025-01-01,09:45:40,Completed,497.00
6026,3,22,Masala Dosa,2025-03-07,14:17:42,Completed,318.00
6027,9,47,BBQ Chicken Platter,2025-03-15,22:15:50,Completed,554.00
6028,13,7,Paneer Butter Masala,2025-03-26,20:22:27,Completed,303.00
6029,7,4,Pasta Alfredo,2025-04-04,17:51:55,Completed,329.00
6030,13,35,Hot Pot Combo,2025-01-18,20:11:17,Completed,679.00
6031,29,36,Paneer Butter Masala,2025-01-07,07:05:59,Completed,350.00
6032,11,27,Cappuccino,2025-03-03,13:55:25,Cancelled,192.00
6033,25,1,Pasta Alfredo,2025-02-03,21:18:27,Completed,422.00
6034,32,10,Grilled Steak,2025-02-07,13:03:37,Completed,625.00
6035,21,4,Mutton Biryani,2025-03-16,22:32:58,Pending,420.00
6036,4,33,Masala Dosa,2025-04-19,12:04:38,Completed,240.00
6037,26,8,BBQ Chicken Platter,2025-02-01,08:39:05,Completed,599.00
6038,34,21,Chicken Momos,2025-01-27,17:15:16,Completed,276.00
6039,30,21,Hakka Noodles,2025-04-30,09:00:29,Completed,364.00
6040,7,5,Falafel Wrap,2025-01-28,23:16:08,Cancelled,217.00
6041,16,24,Pad Thai,2025-01-21,21:53:34,Completed,456.00
